βοάω	βοῶντος
βραχεῖν	βράχε
βριθύς	βριθύ
βρυγμός	βρυγμός
γε	γ̓
γάμος	γάμου
γάμος	γάμους
γάμος	γάμων
γε	γέ
Γέλων	γέλων
γίγνομαι	γένετ̓
γίγνομαι	γένοιτ̓
γίγνομαι	γίγνετ̓
γίγνομαι	γίγνεται
γίγνομαι	γίνεσθαι
γίγνομαι	γίνεσθε
γίγνομαι	γίνεται
γίγνομαι	γίνονται
γίγνομαι	γεγονότα
γίγνομαι	γεγονότας
γίγνομαι	γεγονότες
γράφω	γεγραμμένα
γενεά	γενεήν
γενεά	γενεῇ
γίγνομαι	γενομένην
γίγνομαι	γενομένης
γίγνομαι	γενομένου
γίγνομαι	γενομένων
γίγνομαι	γενόμενα
γίγνομαι	γενόμεναι
γίγνομαι	γενόμενοι
γίγνομαι	γινέσθω
γίγνομαι	γινομένην
γίγνομαι	γινομένου
γίγνομαι	γινομένων
γίγνομαι	γινόμενα
γίγνομαι	γινόμενον
γιγνώσκω	γινώσκει
γιγνώσκω	γινώσκεις
γιγνώσκω	γινώσκετε
γλυκύς	γλυκύ
γιγνώσκω	γνόντες
γόνυ	γούνατ̓
γράμμα	γράμματα
γράφω	γράφει
γράφω	γράφειν
γράφω	γράψας
γρηγορέω	γρηγορεῖτε
γυμνόω	γυμνωθέντα
γυνή	γυναῖκά
γωνία	γωνίας
δέ	δ̓
δάκρυον	δάκρυ
δάκρυον	δάκρυα
δάκρυον	δάκρυον
δαμάζω	δάμασσε
δίδωμι	δέδωκάς
δέχομαι	δέκεσθαι
δέχομαι	δέξασθαι
δέχομαι	δέξηται
δέσμιος	δέσμιον
δάιος	δήϊον
δίαιτα	δίαιταν
διδάσκω	δίδαξον
δίδωμι	δίδου
δίκαιος	δίκαια
δίκαιος	δίκαιοι
δίκαιος	δίκαιον
δίκη	δίκας
δίκη	δίκην
δίκη	δίκης
δίκη	δίκῃ
δίφρος	δίφροιο
δίφρος	δίφρον
δίφρος	δίφρου
δίφρος	δίφρων
διώκω	δίωκε
δαίφρων	δαΐφρονι
δαίφρων	δαΐφρονος
δαίνυμι	δαίνυντ̓
δαιμόνιον	δαιμονίου
δαιμόνιον	δαιμονίων
δαιμόνιον	δαιμόνια
δαιμόνιος	δαιμόνἰ
δάκρυον	δακρύων
δάκτυλος	δακτύλους
δαμάζω	δαμέντες
δέησις	δεήσει
δείδω	δείσαντες
δειμαίνω	δειμαίνοντες
δέχομαι	δεξάμενοι
δέχομαι	δεξάμενος
δεύτερος	δευτέρῃ
δεύτερος	δεύτερος
δεῖ	δεῖ
δεῖ	δεῖν
δεῦτε	δεῦτε
δεῦρο	δεῦῤ
δάιος	δηΐοιο
Δηίφοβος	δηΐφοβος
δάιος	δηΐων
δηιοτής	δηϊοτῆτι
δηιοτής	δηϊοτῆτος
διάβασις	διάβασιν
διάκονος	διάκονοι
διάνοια	διάνοιαν
διατρίβω	διέτριβον
διαβαίνω	διαβάντες
διαδέχομαι	διαδεξάμενος
διακονία	διακονίαν
διακονία	διακονίας
διαπρύσιος	διαπρύσιον
διαφθορά	διαφθοράν
διδάσκαλος	διδάσκαλε
διδάσκω	διδάσκεις
διδάσκω	διδάσκοντες
διδάσκω	διδάσκων
διδασκαλία	διδασκαλίας
διδασκαλία	διδασκαλίᾳ
διαλογίζομαι	διελογίζοντο
διαφθείρω	διεφθάρη
διακόσιοι	διηκοσίας
δίκαιος	δικαίου
δικαιοσύνη	δικαιοσύνην
δικαιοσύνη	δικαιοσύνης
δικαιοσύνη	δικαιοσύνῃ
δισμύριοι	δισμυρίους
διῶρυξ	διώρυχας
δοκέω	δοκέοντες
δορύφορος	δορυφόρων
δουρικλειτός	δουρικλυτός
δόρυ	δούρατ̓
δράω	δράσω
δύναμαι	δυνάμεθα
δύναμις	δυνάμει
δύναμις	δυνάμεις
δύναμαι	δυνάμενοι
δύναμαι	δυνάμενον
δύναμις	δυνάμεων
δύναμις	δυνάμεως
δύναμαι	δυναμένους
δυνατός	δυνατωτάτους
δύο	δυσίν
δυώδεκα	δυώδεκα
δίδωμι	δόντες
δίδωμι	δόντος
δύο	δύ̓
δύναμαι	δύναιτο
δύναμις	δύναμιν
δύναμαι	δύνανται
δύναμαι	δύνασθαι
δύναμαι	δύναται
δύναμαι	δύνατο
δῶμα	δώματ̓
διά	δἰ
